1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,HS6,HS6 ID
-0.969727732,-0.982000622,-0.876264436,-0.989879872,-1.005708885,-0.972569217,-1.011567616,-1.235414111,-1.244293788,-1.354355845,-1.372335919,-1.408567939,-1.660394189,-1.748824644,-1.654708728,-1.59581254,-1.487981561,-1.394016788,-1.311202576,-1.416831079,-1.360419385,-1.364985982,-1.483014459,-1.477875597,-1.575236526,-1.556369109,-1.547755556,"Fish meat & mince, except liver, roe & fillets, froze",30490
,,,,,,,,,,,,,-1.236158397,-1.332101777,-1.355157116,-1.398638366,-1.382730353,-1.454886962,-1.20419468,-1.186717593,-0.967207358,-1.071700274,-1.177413148,-0.946134251,-1.061331046,-1.047950234,"Fish fillets, dried, salted or in brine, not smoked",30530
,,,,,,,,,,0.162615517,0.240853311,0.386563061,0.63089608,0.63375774,0.50933122,0.529438521,0.546212737,0.500639609,0.614120565,0.657362611,0.566773388,0.518564937,0.566097468,0.487343008,0.292468596,0.323835045,"Salmon, smoked, including fillets",30541
,,,,,,,,,,,,,,,,,,-1.422924549,-1.09394168,,,,,-1.291153394,,,Smoked fish & fillets other than herrings or salmon,30549
,,,,,,,0.665416901,0.603397439,0.594441762,0.058371161,0.077887346,-0.340621282,-0.648654029,-0.62279443,-0.420773954,-1.010927691,-1.293814569,-1.157814335,-1.009227693,-0.639178151,-0.674139064,-1.73809004,-1.756854729,-1.958973305,-2.079782413,-2.191164535,"Cod dried, whether or not salted but not smoked",30551
-2.189314985,-2.308820577,-2.095329369,-2.136061222,-2.302932846,-2.335787637,-2.2155531,-2.260079561,-2.206278888,-2.377957187,-2.233319708,-2.231678976,-2.488047236,-2.471042051,-2.532184204,-2.433194893,-2.404956722,-2.364105831,-2.31065166,-2.164270081,-2.133811155,-2.194416179,-2.046955456,-2.239434051,-2.137428195,-2.191180223,-2.223159921,"Dried fish, other than cod, not smoked",30559
,,,0.675888105,0.449284702,0.463338166,0.539518218,,,0.576409426,0.598201562,0.581858338,0.663751263,0.307032069,0.333338465,0.349985537,0.268112633,0.584238587,0.605752494,0.609710931,0.578110179,0.554885962,0.50095991,0.457086305,0.437343581,0.437312793,0.433705511,"Cod, salted or in brine, not dried or smoked",30562
-2.39453799,-2.237314505,-2.207754376,-2.174481951,-2.135772952,-2.137971347,-2.20285358,-2.240917077,-2.239491803,-2.380604794,-2.298539713,-2.352926692,-2.481268376,-2.326116066,-2.388564367,-2.330635687,-2.163282338,-2.11338164,-2.231332029,-2.11974162,-2.164184126,-1.801699901,-1.875479497,-1.937966821,-1.948515981,-2.170174253,-2.375426999,"Rock lobster and other sea crawfish, frozen",30611
,,,,,,,,,,,,,-2.488249998,,,-2.221314055,-2.34170019,-2.908680427,-2.880140964,-2.67554274,-2.746675091,-2.723653817,-2.581541827,-2.417895563,-2.234108521,-2.055521764,Lobsters (Homarus) frozen,30612
-2.865980662,-2.849319313,-2.625882757,-2.619940085,-2.65570447,-2.632563529,-2.641206563,-2.50936566,-2.469187705,-2.399401502,-2.503204784,-2.477805454,-2.520140733,-2.435410907,-2.12420803,-2.094014822,-2.03095735,-2.043092435,-2.063765271,-2.238964857,-2.10970658,-2.252582335,-2.445383561,-2.525883917,-2.508259091,-2.389126504,-2.397784146,"Shrimps and prawns, frozen",30613
-1.631410811,-1.599500253,-1.429656063,-1.39709027,-1.494935868,-1.670560845,-1.797420118,-1.869971365,-1.611752362,-1.765254235,-1.561434342,-1.450394068,-1.681301602,-1.661821854,-1.526619121,-1.459206782,-1.596444848,-1.466164323,-1.578605541,-1.592103194,-1.524470191,-1.696839242,-1.773738187,-1.858969188,-1.857337229,-2.18572659,-2.247986388,"Crabs, frozen",30614
,,,,,,,,,,,,-1.635624127,-1.607884227,-1.51248172,,,,,,,,,,,,,"Crustaceans nes, frozen,",30619
,,,,,,,,,,,,,,,,-2.078469407,-2.036605722,-2.073771494,-2.299240702,-2.516374527,-2.710953471,-2.784149813,-2.655954404,-2.446853231,-2.612935076,-2.667828406,Rock lobster and other sea crawfish not frozen,30621
,,,,-1.083475597,-1.155880542,-1.179324393,-0.576156531,-0.585685057,-1.433263626,-1.299141023,-1.542302282,-1.599426726,-1.145321076,-1.111230102,-1.199757672,-1.030010022,-1.041136255,-1.232409538,-1.376930343,-1.104453228,-1.150728472,-1.428917506,-1.571183293,-1.391869062,-1.330996987,-1.56586321,"Lobsters (Homarus), not frozen",30622
,,,,,,,,,,-1.88828961,-2.068535524,-2.088802949,-1.931284676,-1.981438809,-1.741357755,-1.733816098,-1.884678556,-2.022320711,-2.020944624,-1.847136935,-1.943058403,-1.925543528,,,,,"Shrimps and prawns, not frozen",30623
,,,,,,,,,,,,,,,,-1.815255084,-1.568829602,-1.685462667,-1.745390045,-1.686937266,-1.851550323,-1.837316943,,,,,"Crabs, not frozen",30624
,,,,,,,,,,-0.68126072,-0.566888589,-0.338059946,-0.343759882,-0.084406781,-0.031198139,-0.068907109,-0.399600227,-0.507111097,-0.443543837,-0.341183324,-0.252685093,-0.056697208,-0.038015922,,,,"Scallops other than live, fresh or chilled",30729
-2.250171873,-2.094109548,-1.970106616,-1.915367754,-1.951448684,-2.091080897,-2.307750422,-2.262347881,-1.745705218,-1.852840693,-1.800084651,-1.700757893,-1.75065832,-1.747024803,-1.771737659,-1.637499084,-1.626205381,-1.790617396,-1.65545937,-1.752029806,-1.610188082,-1.580151247,-1.615419009,-1.915988775,-1.955977584,-2.209102508,,"Cuttle fish, squid, frozen, dried, salted or in brine",30749
